label_id,label_name,category,rank_key,model,split,trade_count,scan_count,avg_return_2h,top2_avg_return_2h,top5_avg_return_2h,win_rate,precision_top3,recall_top3_proxy,sharpe,sortino,mdd,coverage_pct,return_per_trade,return_per_scan,rank_ndcg5,rank_map,rank_p1,rank_p2,rank_p5,rank_r5,rank_mrr,rank_hit_top3,split_type,fold_id
return_2h,2h close return,return,,catboost_ranker,,60,12,4.0819,8.2905,4.0819,46.67,55.0,46.67,3.4152,7.822,-28.0307,100.0,4.0819,20.4097,0.8651,1.0,0.9167,0.875,0.55,0.9167,0.9583,1.0,weekly,2026-06-15
return_2h,2h close return,return,,catboost_ranker,walk_forward,272,55,5.0314,8.2223,5.0314,55.88,50.0,55.88,10.1092,29.246,-34.5691,100.0,5.0314,24.8828,0.7706,0.7329,0.8364,0.7636,0.4945,0.8303,0.9136,1.0,,
return_4h,4h close return,return,return_4h,catboost_ranker,blind,272,55,4.8957,8.0263,4.8957,55.51,58.46,55.51,9.6724,26.793,-34.3936,100.0,4.8957,24.2114,0.9234,1.0,0.9818,0.9727,0.5782,0.9697,0.9909,1.0,blind_holdout,
return_4h,4h close return,return,,catboost_ranker,,272,55,4.8957,8.0263,4.8957,55.51,58.46,55.51,9.6724,26.793,-34.3936,100.0,4.8957,24.2114,0.9234,1.0,0.9818,0.9727,0.5782,0.9697,0.9909,1.0,monthly,2026-06
return_4h,4h close return,return,,catboost_ranker,,35,7,7.499,13.1289,7.499,74.29,54.29,74.29,4.8838,15.1824,-17.0784,100.0,7.499,37.495,0.8132,1.0,1.0,1.0,0.5429,0.9048,1.0,1.0,weekly,2026-06-11
return_4h,4h close return,return,,catboost_ranker,,60,12,7.4777,10.5218,7.4777,70.0,58.33,70.0,6.1749,36.3735,-16.3723,100.0,7.4777,37.3887,0.8963,1.0,0.9167,0.9167,0.5833,0.9722,0.9583,1.0,weekly,2026-06-12
return_4h,4h close return,return,,catboost_ranker,,57,12,3.3135,4.2012,3.3135,40.35,61.4,40.35,4.5373,25.3948,-6.3609,100.0,3.3135,15.7391,0.9626,1.0,1.0,1.0,0.5833,1.0,1.0,1.0,weekly,2026-06-13
return_4h,4h close return,return,,catboost_ranker,,60,12,3.1897,6.9035,3.1897,53.33,58.33,53.33,3.5732,6.2708,-34.3936,100.0,3.1897,15.9487,0.9581,1.0,1.0,1.0,0.5833,0.9722,1.0,1.0,weekly,2026-06-14
return_4h,4h close return,return,,catboost_ranker,,60,12,4.0041,7.5021,4.0041,46.67,58.33,46.67,3.3372,7.679,-24.2064,100.0,4.0041,20.0206,0.941,1.0,1.0,0.9583,0.5833,0.9722,1.0,1.0,weekly,2026-06-15
return_4h,4h close return,return,,catboost_ranker,walk_forward,272,55,4.8957,8.0263,4.8957,55.51,51.47,55.51,9.6724,26.793,-34.3936,100.0,4.8957,24.2114,0.8107,0.7963,0.7818,0.7545,0.5091,0.8545,0.8879,1.0,,
return_6h,6h close return,return,return_6h,catboost_ranker,blind,272,55,4.612,8.0487,4.612,51.84,57.72,51.84,8.8588,24.3119,-38.158,100.0,4.612,22.8083,0.8853,1.0,0.9636,0.8818,0.5709,0.9576,0.9818,1.0,blind_holdout,
return_6h,6h close return,return,,catboost_ranker,,272,55,4.612,8.0487,4.612,51.84,57.72,51.84,8.8588,24.3119,-38.158,100.0,4.612,22.8083,0.8853,1.0,0.9636,0.8818,0.5709,0.9576,0.9818,1.0,monthly,2026-06
return_6h,6h close return,return,,catboost_ranker,,35,7,7.6252,13.9467,7.6252,68.57,48.57,68.57,4.7656,15.4459,-17.0784,100.0,7.6252,38.1262,0.7859,1.0,1.0,0.7857,0.4857,0.8095,1.0,1.0,weekly,2026-06-11
return_6h,6h close return,return,,catboost_ranker,,60,12,7.217,10.6631,7.217,65.0,58.33,65.0,5.8197,30.0252,-11.2788,100.0,7.217,36.085,0.783,1.0,0.8333,0.7917,0.5833,0.9722,0.9167,1.0,weekly,2026-06-12
return_6h,6h close return,return,,catboost_ranker,,57,12,2.8624,4.4031,2.8624,40.35,59.65,40.35,3.6186,11.4171,-10.3206,100.0,2.8624,13.5964,0.9414,1.0,1.0,0.9583,0.5667,0.9722,1.0,1.0,weekly,2026-06-13
return_6h,6h close return,return,,catboost_ranker,,60,12,2.8126,5.1,2.8126,50.0,58.33,50.0,3.128,5.531,-38.158,100.0,2.8126,14.063,0.937,1.0,1.0,0.9583,0.5833,0.9722,1.0,1.0,weekly,2026-06-14
return_6h,6h close return,return,,catboost_ranker,,60,12,3.7107,8.5882,3.7107,41.67,60.0,41.67,3.0601,7.1088,-21.2622,100.0,3.7107,18.5536,0.9377,1.0,1.0,0.875,0.6,1.0,1.0,1.0,weekly,2026-06-15
return_6h,6h close return,return,,catboost_ranker,walk_forward,272,55,4.612,8.0487,4.612,51.84,41.18,51.84,8.8588,24.3119,-38.158,100.0,4.612,22.8083,0.6746,0.6967,0.7091,0.5545,0.4073,0.6848,0.8152,0.9818,,
