rule_id,rule_expr,direction,cluster_id,activation_conditions,preferred_regime,avoid_regime,volatility_preference,trend_preference,time_preference,expected_holding_profile,confidence,sample_size,avg_return_2h,precision_pct,status_tags,discovery_decision
EX_OR_E_execution_score_gte_-0.27795_E_pattern_confidence_lte_0.452425,(execution_score >= -0.2779 OR pattern_confidence <= 0.4524),long,bull_trend,(execution_score >= -0.2779 OR pattern_confidence <= 0.4524),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.0571,52.38,mined_pool,
EX_OR_E_execution_score_gte_-0.27795_E_pattern_confidence_lte_0.474463,(execution_score >= -0.2779 OR pattern_confidence <= 0.4745),long,bull_trend,(execution_score >= -0.2779 OR pattern_confidence <= 0.4745),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.0571,52.38,mined_pool,
EX_OR_E_execution_score_gte_-0.27795_E_obs_body_pct_gte_9.53875,(execution_score >= -0.2779 OR obs_body_pct >= 9.539),long,execution_aligned,(execution_score >= -0.2779 OR obs_body_pct >= 9.539),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,2.9846,61.9,mined_pool,
EX_OR_E_execution_score_gte_-0.27795_E_obs_body_pct_gte_11.448538,(execution_score >= -0.2779 OR obs_body_pct >= 11.45),long,execution_aligned,(execution_score >= -0.2779 OR obs_body_pct >= 11.45),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.3405,57.14,mined_pool,
EX_OR_E_execution_score_gte_-0.27795_E_direction_confidence_gte_0.5648,(execution_score >= -0.2779 OR direction_confidence >= 0.5648),long,bull_trend,(execution_score >= -0.2779 OR direction_confidence >= 0.5648),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.3405,57.14,mined_pool,
EX_OR_E_execution_score_gte_-0.27795_E_direction_confidence_gte_0.6736,(execution_score >= -0.2779 OR direction_confidence >= 0.6736),long,bull_trend,(execution_score >= -0.2779 OR direction_confidence >= 0.6736),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.3405,57.14,mined_pool,
EX_OR_ED_obs_return_pct_gap_to_best_entry_gte_-5.8771_E_pattern_confidence_lte_0.452425,((obs_return_pct - gap_to_best_entry) >= -5.877 OR pattern_confidence <= 0.4524),long,bull_trend,((obs_return_pct - gap_to_best_entry) >= -5.877 OR pattern_confidence <= 0.4524),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.3622,71.43,mined_pool,
EX_OR_ED_obs_return_pct_gap_to_best_entry_gte_-5.8771_E_pattern_confidence_lte_0.474463,((obs_return_pct - gap_to_best_entry) >= -5.877 OR pattern_confidence <= 0.4745),long,bull_trend,((obs_return_pct - gap_to_best_entry) >= -5.877 OR pattern_confidence <= 0.4745),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.3622,71.43,mined_pool,
EX_OR_ED_obs_return_pct_gap_to_best_entry_gte_-5.8771_E_obs_body_pct_gte_9.53875,((obs_return_pct - gap_to_best_entry) >= -5.877 OR obs_body_pct >= 9.539),long,strong_breakout,((obs_return_pct - gap_to_best_entry) >= -5.877 OR obs_body_pct >= 9.539),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.3405,71.43,mined_pool,
EX_OR_ED_obs_return_pct_gap_to_best_entry_gte_-5.8771_E_obs_body_pct_gte_11.448538,((obs_return_pct - gap_to_best_entry) >= -5.877 OR obs_body_pct >= 11.45),long,strong_breakout,((obs_return_pct - gap_to_best_entry) >= -5.877 OR obs_body_pct >= 11.45),bull,sideway,low_volatility,bull,asia,2h_fixed,high,21,4.3405,71.43,mined_pool,
