seq_len,model,feature_count,trade_count,scan_count,avg_return_2h,top2_avg_return_2h,top5_avg_return_2h,win_rate,precision_top3,recall_top3_proxy,sharpe,sortino,mdd,coverage_pct,return_per_trade,return_per_scan,rank_ndcg5,rank_map,rank_p1,rank_p2,rank_p5,rank_r5,rank_mrr,rank_hit_top3,split,split_type,fold_id
24,catboost_ranker,,60,12,7.3639,12.126,7.3639,66.67,60.0,66.67,6.0352,35.8196,-9.9589,100.0,7.3639,36.8193,0.9909,0.3196,1.0,1.0,0.6,1.0,1.0,1.0,,weekly,2026-06-12
24,catboost_ranker,,57,12,2.9163,4.2012,2.9163,40.35,59.65,40.35,3.7921,15.6644,-7.6208,100.0,2.9163,13.8522,0.9524,0.501,1.0,1.0,0.5667,0.9722,1.0,1.0,,weekly,2026-06-13
24,catboost_ranker,,60,12,2.3274,4.3611,2.3274,50.0,60.0,50.0,2.2454,3.4757,-36.1746,100.0,2.3274,11.6369,0.9773,0.4314,1.0,0.9583,0.6,1.0,1.0,1.0,,weekly,2026-06-14
24,catboost_ranker,,60,12,3.6344,6.5997,3.6344,41.67,60.0,41.67,2.9945,6.9874,-28.9009,100.0,3.6344,18.1718,0.9702,0.3947,1.0,1.0,0.6,1.0,1.0,1.0,,weekly,2026-06-15
24,lightgbm_ranker,310,272,55,4.337,7.7637,4.337,51.1,59.19,51.1,7.9593,19.2164,-37.0473,100.0,4.337,21.4487,0.9571,0.3996,1.0,0.9909,0.5855,0.9818,1.0,1.0,blind_temporal,,
24,lightgbm_ranker,,272,55,4.337,7.7637,4.337,51.1,59.19,51.1,7.9593,19.2164,-37.0473,100.0,4.337,21.4487,0.9571,0.3996,1.0,0.9909,0.5855,0.9818,1.0,1.0,,monthly,2026-06
24,lightgbm_ranker,,35,7,7.7534,11.6158,7.7534,68.57,57.14,68.57,4.8335,15.7097,-17.0784,100.0,7.7534,38.7668,0.8704,0.3164,1.0,0.9286,0.5714,0.9524,1.0,1.0,,weekly,2026-06-11
24,lightgbm_ranker,,60,12,7.3633,12.126,7.3633,65.0,60.0,65.0,6.0324,35.8171,-9.9589,100.0,7.3633,36.8167,0.9909,0.3196,1.0,1.0,0.6,1.0,1.0,1.0,,weekly,2026-06-12
24,lightgbm_ranker,,57,12,2.5474,4.127,2.5474,36.84,59.65,36.84,3.186,9.8199,-10.3206,100.0,2.5474,12.0999,0.9439,0.501,1.0,1.0,0.5667,0.9722,1.0,1.0,,weekly,2026-06-13
24,lightgbm_ranker,,60,12,2.2066,5.9548,2.2066,50.0,58.33,50.0,2.1065,3.2699,-37.0473,100.0,2.2066,11.0332,0.9785,0.4314,1.0,1.0,0.5833,0.9722,1.0,1.0,,weekly,2026-06-14
24,lightgbm_ranker,,60,12,3.1485,6.5997,3.1485,41.67,60.0,41.67,2.454,5.1564,-29.9079,100.0,3.1485,15.7426,0.9657,0.3947,1.0,1.0,0.6,1.0,1.0,1.0,,weekly,2026-06-15
24,xgboost_ranker,310,272,55,4.4679,7.8126,4.4679,53.31,59.19,53.31,8.2802,21.2532,-40.5156,100.0,4.4679,22.0956,0.9556,0.3996,1.0,0.9727,0.5855,0.9818,1.0,1.0,blind_temporal,,
24,xgboost_ranker,,272,55,4.4679,7.8126,4.4679,53.31,59.19,53.31,8.2802,21.2532,-40.5156,100.0,4.4679,22.0956,0.9556,0.3996,1.0,0.9727,0.5855,0.9818,1.0,1.0,,monthly,2026-06
24,xgboost_ranker,,35,7,8.2787,11.6158,8.2787,71.43,60.0,71.43,5.144,16.7611,-17.0784,100.0,8.2787,41.3936,0.8975,0.3164,1.0,0.9286,0.6,1.0,1.0,1.0,,weekly,2026-06-11
24,xgboost_ranker,,60,12,7.4877,12.3703,7.4877,70.0,60.0,70.0,6.1769,36.4222,-9.9589,100.0,7.4877,37.4387,0.9836,0.3196,1.0,0.9583,0.6,1.0,1.0,1.0,,weekly,2026-06-12
24,xgboost_ranker,,57,12,2.5167,4.1071,2.5167,40.35,57.89,40.35,3.1477,10.3959,-9.2046,100.0,2.5167,11.9544,0.9292,0.501,1.0,0.9583,0.55,0.9444,1.0,1.0,,weekly,2026-06-13
24,xgboost_ranker,,60,12,2.6701,5.9548,2.6701,51.67,58.33,51.67,2.8069,4.8349,-40.5156,100.0,2.6701,13.3504,0.9803,0.4314,1.0,1.0,0.5833,0.9722,1.0,1.0,,weekly,2026-06-14
24,xgboost_ranker,,60,12,2.8763,6.5997,2.8763,40.0,60.0,40.0,2.2052,4.5807,-35.3374,100.0,2.8763,14.3816,0.963,0.3947,1.0,1.0,0.6,1.0,1.0,1.0,,weekly,2026-06-15
