rule_id,rule_expr,direction,cluster_hint,act_bear_pct,n_bear,act_bull_pct,n_bull,act_sideway_pct,n_sideway,act_vol_low_volatility_pct,n_vol_low_volatility
EX_AND_E_direction_confidence_gte_1.0_ED_obs_return_pct_gap_to_best_entry_gte_-5.8771,(direction_confidence >= 1 AND (obs_return_pct - gap_to_best_entry) >= -5.877),long,mined_pool,50.0,4,38.46,13,25.0,4,38.1,21
EX_AND_E_direction_confidence_gte_1.0_E_pattern_confidence_lte_0.452425,(direction_confidence >= 1 AND pattern_confidence <= 0.4524),long,mined_pool,25.0,4,30.77,13,25.0,4,28.57,21
EX_AND_E_direction_confidence_gte_1.0_E_pattern_confidence_lte_0.474463,(direction_confidence >= 1 AND pattern_confidence <= 0.4745),long,mined_pool,25.0,4,30.77,13,25.0,4,28.57,21
EX_AND_E_direction_confidence_gte_1.0_E_obs_body_pct_gte_9.53875,(direction_confidence >= 1 AND obs_body_pct >= 9.539),long,mined_pool,25.0,4,7.69,13,25.0,4,14.29,21
EX_AND_E_direction_confidence_gte_1.0_E_obs_body_pct_gte_11.448538,(direction_confidence >= 1 AND obs_body_pct >= 11.45),long,mined_pool,25.0,4,7.69,13,25.0,4,14.29,21
EX_AND_E_direction_confidence_gte_1.0_E_direction_confidence_gte_0.5648,(direction_confidence >= 1 AND direction_confidence >= 0.5648),long,mined_pool,50.0,4,38.46,13,25.0,4,38.1,21
EX_AND_E_direction_confidence_gte_1.0_E_direction_confidence_gte_0.6736,(direction_confidence >= 1 AND direction_confidence >= 0.6736),long,mined_pool,50.0,4,38.46,13,25.0,4,38.1,21
EX_AND_E_direction_confidence_gte_1.0_E_rank_obs_return_top5_gte_0.125,(direction_confidence >= 1 AND rank_obs_return_top5 >= 0.125),long,mined_pool,50.0,4,30.77,13,25.0,4,33.33,21
EX_AND_E_direction_confidence_gte_1.0_E_rank_obs_return_top5_gte_0.25,(direction_confidence >= 1 AND rank_obs_return_top5 >= 0.25),long,mined_pool,50.0,4,30.77,13,25.0,4,33.33,21
EX_AND_E_direction_confidence_gte_1.0_E_rank_obs_return_top5_gte_0.375,(direction_confidence >= 1 AND rank_obs_return_top5 >= 0.375),long,mined_pool,50.0,4,30.77,13,25.0,4,33.33,21
EX_AND_E_direction_confidence_gte_1.0_E_rank_obs_return_top5_gte_0.5,(direction_confidence >= 1 AND rank_obs_return_top5 >= 0.5),long,mined_pool,50.0,4,30.77,13,25.0,4,33.33,21
EX_AND_E_direction_confidence_gte_1.0_E_rank_obs_return_top5_gte_0.625,(direction_confidence >= 1 AND rank_obs_return_top5 >= 0.625),long,mined_pool,50.0,4,30.77,13,25.0,4,33.33,21
EX_AND_E_direction_confidence_gte_1.0_E_rank_obs_return_top5_gte_0.75,(direction_confidence >= 1 AND rank_obs_return_top5 >= 0.75),long,mined_pool,50.0,4,30.77,13,25.0,4,33.33,21
EX_AND_E_obs_low_pct_gte_-2.914012_E_execution_score_gte_-0.27795,(obs_low_pct >= -2.914 AND execution_score >= -0.2779),long,mined_pool,50.0,4,46.15,13,25.0,4,42.86,21
EX_AND_E_obs_low_pct_gte_-2.914012_ED_obs_return_pct_gap_to_best_entry_gte_-5.8771,(obs_low_pct >= -2.914 AND (obs_return_pct - gap_to_best_entry) >= -5.877),long,mined_pool,50.0,4,53.85,13,50.0,4,52.38,21
EX_AND_E_obs_low_pct_gte_-2.914012_E_pattern_confidence_lte_0.452425,(obs_low_pct >= -2.914 AND pattern_confidence <= 0.4524),long,mined_pool,25.0,4,46.15,13,25.0,4,38.1,21
EX_AND_E_obs_low_pct_gte_-2.914012_E_pattern_confidence_lte_0.474463,(obs_low_pct >= -2.914 AND pattern_confidence <= 0.4745),long,mined_pool,25.0,4,46.15,13,25.0,4,38.1,21
EX_AND_E_obs_low_pct_gte_-2.914012_E_obs_body_pct_gte_9.53875,(obs_low_pct >= -2.914 AND obs_body_pct >= 9.539),long,mined_pool,25.0,4,7.69,13,25.0,4,14.29,21
EX_AND_E_obs_low_pct_gte_-2.914012_E_obs_body_pct_gte_11.448538,(obs_low_pct >= -2.914 AND obs_body_pct >= 11.45),long,mined_pool,25.0,4,7.69,13,25.0,4,14.29,21
EX_AND_E_obs_low_pct_gte_-2.914012_E_direction_confidence_gte_0.5648,(obs_low_pct >= -2.914 AND direction_confidence >= 0.5648),long,mined_pool,50.0,4,53.85,13,25.0,4,47.62,21
EX_AND_E_obs_low_pct_gte_-2.914012_E_direction_confidence_gte_0.6736,(obs_low_pct >= -2.914 AND direction_confidence >= 0.6736),long,mined_pool,50.0,4,53.85,13,25.0,4,47.62,21
EX_AND_E_obs_low_pct_gte_-2.914012_E_rank_obs_return_top5_gte_0.125,(obs_low_pct >= -2.914 AND rank_obs_return_top5 >= 0.125),long,mined_pool,50.0,4,38.46,13,50.0,4,42.86,21
EX_AND_E_obs_low_pct_gte_-2.914012_E_rank_obs_return_top5_gte_0.25,(obs_low_pct >= -2.914 AND rank_obs_return_top5 >= 0.25),long,mined_pool,50.0,4,38.46,13,50.0,4,42.86,21
EX_AND_E_obs_low_pct_gte_-2.914012_E_rank_obs_return_top5_gte_0.375,(obs_low_pct >= -2.914 AND rank_obs_return_top5 >= 0.375),long,mined_pool,50.0,4,38.46,13,50.0,4,42.86,21
EX_AND_E_obs_low_pct_gte_-2.914012_E_rank_obs_return_top5_gte_0.5,(obs_low_pct >= -2.914 AND rank_obs_return_top5 >= 0.5),long,mined_pool,50.0,4,38.46,13,50.0,4,42.86,21
EX_AND_E_obs_low_pct_gte_-2.914012_E_rank_obs_return_top5_gte_0.625,(obs_low_pct >= -2.914 AND rank_obs_return_top5 >= 0.625),long,mined_pool,50.0,4,38.46,13,50.0,4,42.86,21
EX_AND_E_obs_low_pct_gte_-2.914012_E_rank_obs_return_top5_gte_0.75,(obs_low_pct >= -2.914 AND rank_obs_return_top5 >= 0.75),long,mined_pool,50.0,4,38.46,13,50.0,4,42.86,21
EX_AND_E_execution_score_gte_-0.27795_ED_obs_return_pct_gap_to_best_entry_gte_-5.8771,(execution_score >= -0.2779 AND (obs_return_pct - gap_to_best_entry) >= -5.877),long,mined_pool,50.0,4,46.15,13,25.0,4,42.86,21
EX_AND_E_execution_score_gte_-0.27795_E_pattern_confidence_lte_0.452425,(execution_score >= -0.2779 AND pattern_confidence <= 0.4524),long,mined_pool,25.0,4,46.15,13,25.0,4,38.1,21
EX_AND_E_execution_score_gte_-0.27795_E_pattern_confidence_lte_0.474463,(execution_score >= -0.2779 AND pattern_confidence <= 0.4745),long,mined_pool,25.0,4,46.15,13,25.0,4,38.1,21
