rule_id,rule_expr,direction,source,status_tags,discovery_decision,trade_count,scan_groups,coverage_pct,precision_pct,avg_return_2h,win_rate_pct,max_drawdown,return_per_day,sharpe,best_regime,worst_regime,volatility_preference,trend_preference,time_preference,blind_avg,train_avg
EX_OR_E_obs_body_pct_gte_9.53875_E_rank_obs_return_top5_gte_0.25,(obs_body_pct >= 9.539 OR rank_obs_return_top5 >= 0.25),long,train_rank,discovered,,21,12,46.15,66.67,4.8528,47.62,-74.4342,14.5584,0.9152,bull,sideway,low_volatility,bull,asia,,0.8397
EX_OR_E_obs_body_pct_gte_11.448538_E_rank_obs_return_top5_gte_0.125,(obs_body_pct >= 11.45 OR rank_obs_return_top5 >= 0.125),long,train_rank,discovered,,21,12,46.15,66.67,4.8528,47.62,-74.4342,14.5584,0.9152,bull,sideway,low_volatility,bull,asia,,0.8397
EX_OR_E_obs_body_pct_gte_11.448538_E_rank_obs_return_top5_gte_0.25,(obs_body_pct >= 11.45 OR rank_obs_return_top5 >= 0.25),long,train_rank,discovered,,21,12,46.15,66.67,4.8528,47.62,-74.4342,14.5584,0.9152,bull,sideway,low_volatility,bull,asia,,0.8397
EX_0,direction_confidence >= 0.7824,long,mined,mined_pool,,21,12,46.15,52.38,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_1,direction_confidence >= 0.8912,long,mined,mined_pool,,21,12,46.15,47.62,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_0,direction_confidence >= 1,short,mined,mined_pool,,24,14,53.85,45.83,0.2731,58.33,-158.1456,0.8193,0.0526,sideway,bull,low_volatility,sideway,us,,
EX_3,obs_low_pct >= -2.914,long,mined,mined_pool,,21,12,46.15,57.14,4.6456,47.62,-85.1916,13.9368,0.8634,bull,sideway,low_volatility,bull,asia,,
EX_4,execution_score >= -0.2779,long,mined,mined_pool,,21,12,46.15,42.86,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_5,(obs_return_pct - gap_to_best_entry) >= -5.877,long,mined,mined_pool,,21,12,46.15,61.9,4.6456,47.62,-85.1916,13.9368,0.8634,bull,sideway,low_volatility,bull,asia,,
EX_6,pattern_confidence <= 0.4524,long,mined,mined_pool,,21,12,46.15,47.62,4.0571,47.62,-85.1916,12.1713,0.7408,bull,sideway,low_volatility,bull,asia,,
EX_7,pattern_confidence <= 0.4745,long,mined,mined_pool,,21,12,46.15,47.62,4.0571,47.62,-85.1916,12.1713,0.7408,bull,sideway,low_volatility,bull,asia,,
EX_8,obs_body_pct >= 9.539,long,mined,mined_pool,,21,12,46.15,33.33,2.9846,42.86,-85.1916,8.9537,0.5402,bull,sideway,low_volatility,bull,asia,,
EX_9,obs_body_pct >= 11.45,long,mined,mined_pool,,21,12,46.15,28.57,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_10,direction_confidence >= 0.5648,long,mined,mined_pool,,21,12,46.15,57.14,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_11,direction_confidence >= 0.6736,long,mined,mined_pool,,21,12,46.15,57.14,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_23,obs_range_pct >= 16.45,long,mined,mined_pool,,21,12,46.15,28.57,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_24,atr_increase_ratio >= 0.6759,long,mined,mined_pool,,21,12,46.15,28.57,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_17,top5_rank <= 1,short,mined,mined_pool,,24,14,53.85,58.33,0.2731,58.33,-158.1456,0.8193,0.0526,sideway,bull,low_volatility,sideway,us,,
EX_18,top5_rank <= 1.125,short,mined,mined_pool,,24,14,53.85,58.33,0.2731,58.33,-158.1456,0.8193,0.0526,sideway,bull,low_volatility,sideway,us,,
EX_19,top5_rank <= 1.25,short,mined,mined_pool,,24,14,53.85,58.33,0.2731,58.33,-158.1456,0.8193,0.0526,sideway,bull,low_volatility,sideway,us,,
EX_20,top5_rank <= 1.375,short,mined,mined_pool,,24,14,53.85,58.33,0.2731,58.33,-158.1456,0.8193,0.0526,sideway,bull,low_volatility,sideway,us,,
EX_21,top5_rank <= 1.5,short,mined,mined_pool,,24,14,53.85,58.33,0.2731,58.33,-158.1456,0.8193,0.0526,sideway,bull,low_volatility,sideway,us,,
EX_AND_E_direction_confidence_gte_0.7824_E_direction_confidence_gte_0.8912,(direction_confidence >= 0.7824 AND direction_confidence >= 0.8912),long,mined,mined_pool,,21,12,46.15,47.62,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.7824_E_direction_confidence_gte_1.0,(direction_confidence >= 0.7824 AND direction_confidence >= 1),long,mined,mined_pool,,21,12,46.15,38.1,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.7824_E_obs_low_pct_gte_-2.914012,(direction_confidence >= 0.7824 AND obs_low_pct >= -2.914),long,mined,mined_pool,,21,12,46.15,47.62,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.7824_E_execution_score_gte_-0.27795,(direction_confidence >= 0.7824 AND execution_score >= -0.2779),long,mined,mined_pool,,21,12,46.15,42.86,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.7824_ED_obs_return_pct_gap_to_best_entry_gte_-5.8771,(direction_confidence >= 0.7824 AND (obs_return_pct - gap_to_best_entry) >= -5.877),long,mined,mined_pool,,21,12,46.15,52.38,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.7824_E_pattern_confidence_lte_0.452425,(direction_confidence >= 0.7824 AND pattern_confidence <= 0.4524),long,mined,mined_pool,,21,12,46.15,38.1,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.7824_E_pattern_confidence_lte_0.474463,(direction_confidence >= 0.7824 AND pattern_confidence <= 0.4745),long,mined,mined_pool,,21,12,46.15,38.1,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.7824_E_obs_body_pct_gte_9.53875,(direction_confidence >= 0.7824 AND obs_body_pct >= 9.539),long,mined,mined_pool,,21,12,46.15,14.29,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.7824_E_obs_body_pct_gte_11.448538,(direction_confidence >= 0.7824 AND obs_body_pct >= 11.45),long,mined,mined_pool,,21,12,46.15,14.29,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.7824_E_direction_confidence_gte_0.5648,(direction_confidence >= 0.7824 AND direction_confidence >= 0.5648),long,mined,mined_pool,,21,12,46.15,52.38,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.7824_E_direction_confidence_gte_0.6736,(direction_confidence >= 0.7824 AND direction_confidence >= 0.6736),long,mined,mined_pool,,21,12,46.15,52.38,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.7824_E_rank_obs_return_top5_gte_0.125,(direction_confidence >= 0.7824 AND rank_obs_return_top5 >= 0.125),long,mined,mined_pool|momentum_hybrid,,21,12,46.15,42.86,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.7824_E_rank_obs_return_top5_gte_0.25,(direction_confidence >= 0.7824 AND rank_obs_return_top5 >= 0.25),long,mined,mined_pool|momentum_hybrid,,21,12,46.15,42.86,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.7824_E_rank_obs_return_top5_gte_0.375,(direction_confidence >= 0.7824 AND rank_obs_return_top5 >= 0.375),long,mined,mined_pool|momentum_hybrid,,21,12,46.15,42.86,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.7824_E_rank_obs_return_top5_gte_0.5,(direction_confidence >= 0.7824 AND rank_obs_return_top5 >= 0.5),long,mined,mined_pool|momentum_hybrid,,21,12,46.15,42.86,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.7824_E_rank_obs_return_top5_gte_0.625,(direction_confidence >= 0.7824 AND rank_obs_return_top5 >= 0.625),long,mined,mined_pool|momentum_hybrid,,21,12,46.15,42.86,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.7824_E_rank_obs_return_top5_gte_0.75,(direction_confidence >= 0.7824 AND rank_obs_return_top5 >= 0.75),long,mined,mined_pool|momentum_hybrid,,21,12,46.15,42.86,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.8912_E_direction_confidence_gte_1.0,(direction_confidence >= 0.8912 AND direction_confidence >= 1),long,mined,mined_pool,,21,12,46.15,38.1,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.8912_E_obs_low_pct_gte_-2.914012,(direction_confidence >= 0.8912 AND obs_low_pct >= -2.914),long,mined,mined_pool,,21,12,46.15,47.62,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.8912_E_execution_score_gte_-0.27795,(direction_confidence >= 0.8912 AND execution_score >= -0.2779),long,mined,mined_pool,,21,12,46.15,42.86,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.8912_ED_obs_return_pct_gap_to_best_entry_gte_-5.8771,(direction_confidence >= 0.8912 AND (obs_return_pct - gap_to_best_entry) >= -5.877),long,mined,mined_pool,,21,12,46.15,47.62,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.8912_E_pattern_confidence_lte_0.452425,(direction_confidence >= 0.8912 AND pattern_confidence <= 0.4524),long,mined,mined_pool,,21,12,46.15,38.1,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.8912_E_pattern_confidence_lte_0.474463,(direction_confidence >= 0.8912 AND pattern_confidence <= 0.4745),long,mined,mined_pool,,21,12,46.15,38.1,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.8912_E_obs_body_pct_gte_9.53875,(direction_confidence >= 0.8912 AND obs_body_pct >= 9.539),long,mined,mined_pool,,21,12,46.15,14.29,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.8912_E_obs_body_pct_gte_11.448538,(direction_confidence >= 0.8912 AND obs_body_pct >= 11.45),long,mined,mined_pool,,21,12,46.15,14.29,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.8912_E_direction_confidence_gte_0.5648,(direction_confidence >= 0.8912 AND direction_confidence >= 0.5648),long,mined,mined_pool,,21,12,46.15,47.62,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.8912_E_direction_confidence_gte_0.6736,(direction_confidence >= 0.8912 AND direction_confidence >= 0.6736),long,mined,mined_pool,,21,12,46.15,47.62,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.8912_E_rank_obs_return_top5_gte_0.125,(direction_confidence >= 0.8912 AND rank_obs_return_top5 >= 0.125),long,mined,mined_pool|momentum_hybrid,,21,12,46.15,38.1,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.8912_E_rank_obs_return_top5_gte_0.25,(direction_confidence >= 0.8912 AND rank_obs_return_top5 >= 0.25),long,mined,mined_pool|momentum_hybrid,,21,12,46.15,38.1,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
EX_AND_E_direction_confidence_gte_0.8912_E_rank_obs_return_top5_gte_0.375,(direction_confidence >= 0.8912 AND rank_obs_return_top5 >= 0.375),long,mined,mined_pool|momentum_hybrid,,21,12,46.15,38.1,4.3405,47.62,-85.1916,13.0216,0.7992,bull,sideway,low_volatility,bull,asia,,
