rule_id,rule_expr,scope,signal_count,pass_count,fail_count,precision,recall,f1,lift,odds_ratio,avg_return_2h,avg_return_4h,win_rate_pct,pass_scan_count,total_scan_count,pass_per_scan,pass_per_day,trade_frequency_pct,direction,live_score,v1_precision_baseline,live_pattern
AND_ABD,(A AND B AND D),short_SHORT_CONTINUATION,102,3,99,1.0,0.1667,0.2857,5.6667,16.8,15.4549,16.197,100.0,3,84,0.0357,0.2,2.94,short,0.345,,SHORT_CONTINUATION
OR_ABD_C,((A AND B AND D) OR C),short_SHORT_CONTINUATION,102,3,99,1.0,0.1667,0.2857,5.6667,16.8,15.4549,16.197,100.0,3,84,0.0357,0.2,2.94,short,0.345,,SHORT_CONTINUATION
OR_AB_CD,((A AND B) OR (C AND D)),short_SHORT_CONTINUATION,102,3,99,1.0,0.1667,0.2857,5.6667,16.8,15.4549,16.197,100.0,3,84,0.0357,0.2,2.94,short,0.345,,SHORT_CONTINUATION
OR_ACD_B,((A AND C AND D) OR B),short_SHORT_CONTINUATION,102,3,99,1.0,0.1667,0.2857,5.6667,16.8,15.4549,16.197,100.0,3,84,0.0357,0.2,2.94,short,0.345,,SHORT_CONTINUATION
OR_AC_BD,((A AND C) OR (B AND D)),short_SHORT_CONTINUATION,102,3,99,1.0,0.1667,0.2857,5.6667,16.8,15.4549,16.197,100.0,3,84,0.0357,0.2,2.94,short,0.345,,SHORT_CONTINUATION
OR_AD_BC,((A AND D) OR (B AND C)),short_SHORT_CONTINUATION,102,3,99,1.0,0.1667,0.2857,5.6667,16.8,15.4549,16.197,100.0,3,84,0.0357,0.2,2.94,short,0.345,,SHORT_CONTINUATION
OR_A_BCD,(A OR (B AND C AND D)),short_SHORT_CONTINUATION,102,3,99,1.0,0.1667,0.2857,5.6667,16.8,15.4549,16.197,100.0,3,84,0.0357,0.2,2.94,short,0.345,,SHORT_CONTINUATION
OR_AD_B_C,((A AND D) OR B OR C),short_SHORT_CONTINUATION,102,3,99,1.0,0.1667,0.2857,5.6667,16.8,15.4549,16.197,100.0,3,84,0.0357,0.2,2.94,short,0.345,,SHORT_CONTINUATION
OR_A_BD_C,(A OR (B AND D) OR C),short_SHORT_CONTINUATION,102,3,99,1.0,0.1667,0.2857,5.6667,16.8,15.4549,16.197,100.0,3,84,0.0357,0.2,2.94,short,0.345,,SHORT_CONTINUATION
OR_A_B_CD,(A OR B OR (C AND D)),short_SHORT_CONTINUATION,102,3,99,1.0,0.1667,0.2857,5.6667,16.8,15.4549,16.197,100.0,3,84,0.0357,0.2,2.94,short,0.345,,SHORT_CONTINUATION
OR_ABD_C,((A AND B AND D) OR C),long_LONG_REVERSAL,327,5,322,1.0,0.082,0.1515,5.3607,23.75,27.2493,21.5473,100.0,5,159,0.0314,0.3333,1.53,long,0.3202,,LONG_REVERSAL
OR_AD_BC,((A AND D) OR (B AND C)),long_LONG_REVERSAL,327,5,322,1.0,0.082,0.1515,5.3607,23.75,27.2493,21.5473,100.0,5,159,0.0314,0.3333,1.53,long,0.3202,,LONG_REVERSAL
AND_AC,(A AND C),long_LONG_BREAKOUT,312,5,307,1.0,0.0735,0.137,4.5882,19.3651,35.1811,36.0259,100.0,5,150,0.0333,0.3333,1.6,long,0.3164,,LONG_BREAKOUT
AND_BC,(B AND C),long_LONG_BREAKOUT,312,5,307,1.0,0.0735,0.137,4.5882,19.3651,35.1811,36.0259,100.0,5,150,0.0333,0.3333,1.6,long,0.3164,,LONG_BREAKOUT
AND_ABC,(A AND B AND C),long_LONG_BREAKOUT,312,5,307,1.0,0.0735,0.137,4.5882,19.3651,35.1811,36.0259,100.0,5,150,0.0333,0.3333,1.6,long,0.3164,,LONG_BREAKOUT
AND_ACD,(A AND C AND D),long_LONG_BREAKOUT,312,5,307,1.0,0.0735,0.137,4.5882,19.3651,35.1811,36.0259,100.0,5,150,0.0333,0.3333,1.6,long,0.3164,,LONG_BREAKOUT
AND_BCD,(B AND C AND D),long_LONG_BREAKOUT,312,5,307,1.0,0.0735,0.137,4.5882,19.3651,35.1811,36.0259,100.0,5,150,0.0333,0.3333,1.6,long,0.3164,,LONG_BREAKOUT
