rule_id,rule_expr,direction,cluster_id,expr_clusters,empirical_cluster,cluster_members,best_regime,volatility_preference,avg_return_2h,trade_count,status_tags
EX_OR_E_obs_body_pct_gte_9.53875_E_rank_obs_return_top5_gte_0.125,(obs_body_pct >= 9.539 OR rank_obs_return_top5 >= 0.125),long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.8528,21,discovered
EX_OR_E_obs_body_pct_gte_9.53875_E_rank_obs_return_top5_gte_0.25,(obs_body_pct >= 9.539 OR rank_obs_return_top5 >= 0.25),long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.8528,21,discovered
EX_OR_E_obs_body_pct_gte_11.448538_E_rank_obs_return_top5_gte_0.125,(obs_body_pct >= 11.45 OR rank_obs_return_top5 >= 0.125),long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.8528,21,discovered
EX_OR_E_obs_body_pct_gte_11.448538_E_rank_obs_return_top5_gte_0.25,(obs_body_pct >= 11.45 OR rank_obs_return_top5 >= 0.25),long,strong_breakout,strong_breakout,bull_trend,bull_trend|strong_breakout,bull,low_volatility,4.8528,21,discovered
EX_0,direction_confidence >= 0.7824,long,bull_trend,bull_trend,bull_trend,bull_trend,bull,low_volatility,4.3405,21,mined_pool
EX_1,direction_confidence >= 0.8912,long,bull_trend,bull_trend,bull_trend,bull_trend,bull,low_volatility,4.3405,21,mined_pool
EX_0,direction_confidence >= 1,short,bull_trend,bull_trend,sideways,bull_trend|sideways,sideway,low_volatility,0.2731,24,mined_pool
EX_3,obs_low_pct >= -2.914,long,reversal,reversal,bull_trend,bull_trend|reversal,bull,low_volatility,4.6456,21,mined_pool
EX_4,execution_score >= -0.2779,long,execution_aligned,execution_aligned,bull_trend,bull_trend|execution_aligned,bull,low_volatility,4.3405,21,mined_pool
EX_5,(obs_return_pct - gap_to_best_entry) >= -5.877,long,strong_breakout,strong_breakout|recovery,bull_trend,bull_trend|recovery|strong_breakout,bull,low_volatility,4.6456,21,mined_pool
EX_6,pattern_confidence <= 0.4524,long,bull_trend,bull_trend,bull_trend,bull_trend,bull,low_volatility,4.0571,21,mined_pool
EX_7,pattern_confidence <= 0.4745,long,bull_trend,bull_trend,bull_trend,bull_trend,bull,low_volatility,4.0571,21,mined_pool
EX_8,obs_body_pct >= 9.539,long,mixed,mixed,bull_trend,bull_trend|mixed,bull,low_volatility,2.9846,21,mined_pool
EX_9,obs_body_pct >= 11.45,long,mixed,mixed,bull_trend,bull_trend|mixed,bull,low_volatility,4.3405,21,mined_pool
EX_10,direction_confidence >= 0.5648,long,bull_trend,bull_trend,bull_trend,bull_trend,bull,low_volatility,4.3405,21,mined_pool
EX_11,direction_confidence >= 0.6736,long,bull_trend,bull_trend,bull_trend,bull_trend,bull,low_volatility,4.3405,21,mined_pool
EX_23,obs_range_pct >= 16.45,long,low_atr,low_atr,bull_trend,bull_trend|low_atr,bull,low_volatility,4.3405,21,mined_pool
EX_24,atr_increase_ratio >= 0.6759,long,high_atr,high_atr,bull_trend,bull_trend|high_atr,bull,low_volatility,4.3405,21,mined_pool
EX_17,top5_rank <= 1,short,mixed,mixed,sideways,mixed|sideways,sideway,low_volatility,0.2731,24,mined_pool
EX_18,top5_rank <= 1.125,short,mixed,mixed,sideways,mixed|sideways,sideway,low_volatility,0.2731,24,mined_pool
EX_19,top5_rank <= 1.25,short,mixed,mixed,sideways,mixed|sideways,sideway,low_volatility,0.2731,24,mined_pool
EX_20,top5_rank <= 1.375,short,mixed,mixed,sideways,mixed|sideways,sideway,low_volatility,0.2731,24,mined_pool
EX_21,top5_rank <= 1.5,short,mixed,mixed,sideways,mixed|sideways,sideway,low_volatility,0.2731,24,mined_pool
EX_AND_E_direction_confidence_gte_0.7824_E_direction_confidence_gte_0.8912,(direction_confidence >= 0.7824 AND direction_confidence >= 0.8912),long,bull_trend,bull_trend,bull_trend,bull_trend,bull,low_volatility,4.3405,21,mined_pool
EX_AND_E_direction_confidence_gte_0.7824_E_direction_confidence_gte_1.0,(direction_confidence >= 0.7824 AND direction_confidence >= 1),long,bull_trend,bull_trend,bull_trend,bull_trend,bull,low_volatility,4.3405,21,mined_pool
EX_AND_E_direction_confidence_gte_0.7824_E_obs_low_pct_gte_-2.914012,(direction_confidence >= 0.7824 AND obs_low_pct >= -2.914),long,bull_trend,bull_trend|reversal,bull_trend,bull_trend|reversal,bull,low_volatility,4.3405,21,mined_pool
EX_AND_E_direction_confidence_gte_0.7824_E_execution_score_gte_-0.27795,(direction_confidence >= 0.7824 AND execution_score >= -0.2779),long,bull_trend,bull_trend|execution_aligned,bull_trend,bull_trend|execution_aligned,bull,low_volatility,4.3405,21,mined_pool
