formula_id,rounds_total,rounds_beat_baseline,round_win_rate,stability_std,avg_generalization_score,survived
SF_OR_SF_30m_previous_ma20_distance_pct_gte_39.165157_SF_2h_previous_return_pct_gte_26.298514,17,17,1.0,1.2676,15.6148,True
SF_AND_SF_2h_previous_body_pct_gte_34.349857_SF_2h_current_range_pct_gte_14.964243,17,17,1.0,1.2245,15.6134,True
SF_AND_SF_2h_previous_body_pct_gte_34.349857_SF_2h_previous_body_pct_gte_27.479886,17,17,1.0,1.2245,15.6134,True
SF_AND_SF_2h_previous_body_pct_gte_34.349857_SF_2h_previous_return_pct_gte_26.298514,17,17,1.0,1.2245,15.6134,True
SF_ATOM_10,17,17,1.0,1.2245,15.6134,True
SF_ORAND_SF_2h_previous_body_pct_gte_34.349857,17,17,1.0,1.2245,15.6134,True
SF_AND_SF_2h_current_range_pct_gte_29.928486_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.1957,15.6105,True
SF_AND_SF_1h_current_ma20_distance_pct_gte_20.388471_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.2256,15.609,True
SF_AND_SF_2h_current_body_pct_gte_13.739943_SD_2h_current_return_pct_1h_current_return_pct_gte_13.61786,17,17,1.0,1.2267,15.6062,True
SF_AND_SF_15m_current_ma20_distance_pct_gte_26.750886_SF_15m_current_ma20_distance_pct_gte_17.364729,17,17,1.0,1.2409,15.6012,True
SF_AND_SF_15m_current_ma20_distance_pct_gte_26.750886_SF_1h_current_ma20_distance_pct_gte_20.388471,17,17,1.0,1.2409,15.6012,True
SF_AND_SF_15m_current_ma20_distance_pct_gte_26.750886_SF_2h_current_range_pct_gte_14.964243,17,17,1.0,1.2409,15.6012,True
SF_AND_SF_15m_current_ma20_distance_pct_gte_26.750886_SF_30m_previous_ma20_distance_pct_gte_39.165157,17,17,1.0,1.2409,15.6012,True
SF_ATOM_5,17,17,1.0,1.2409,15.6012,True
SF_ORAND_SF_15m_current_ma20_distance_pct_gte_26.750886,17,17,1.0,1.2409,15.6012,True
SF_OR_SF_1h_current_return_pct_gte_18.082043_SF_15m_current_ma20_distance_pct_gte_26.750886,17,17,1.0,1.2409,15.6012,True
SF_AND_SF_15m_current_ma20_distance_pct_gte_17.364729_SF_30m_previous_ma20_distance_pct_gte_39.165157,17,17,1.0,1.2414,15.6011,True
SF_AND_SF_15m_current_return_pct_gte_10.127714_SD_1h_current_range_pct_1h_previous_range_pct_gte_21.98114,17,17,1.0,1.2221,15.5993,True
SF_AND_SF_15m_current_return_pct_gte_10.127714_SD_1h_current_range_pct_1h_previous_range_pct_gte_5.76056,17,17,1.0,1.2221,15.5993,True
SF_AND_SF_15m_current_return_pct_gte_10.127714_SD_1h_current_return_pct_15m_current_return_pct_lte_-12.62842,17,17,1.0,1.2221,15.5993,True
SF_AND_SF_15m_current_return_pct_gte_10.127714_SF_15m_current_body_pct_gte_9.0914,17,17,1.0,1.2221,15.5993,True
SF_AND_SF_15m_current_return_pct_gte_10.127714_SF_2h_current_range_pct_gte_14.964243,17,17,1.0,1.2221,15.5993,True
SF_AND_SF_15m_current_return_pct_gte_10.127714_SF_30m_current_range_pct_gte_12.1684,17,17,1.0,1.2221,15.5993,True
SF_AND_SF_15m_current_return_pct_gte_10.127714_SF_derived_range_expansion_gte_19.663914,17,17,1.0,1.2221,15.5993,True
SF_AND_SF_15m_current_return_pct_gte_10.127714_SF_derived_range_expansion_gte_8.077786,17,17,1.0,1.2221,15.5993,True
SF_ATOM_2,17,17,1.0,1.2221,15.5993,True
SF_ORAND_SF_15m_current_return_pct_gte_10.127714,17,17,1.0,1.2221,15.5993,True
