rule_id,rule_expr,scope,signal_count,pass_count,fail_count,precision,recall,f1,lift,odds_ratio,avg_return_2h,avg_return_4h,win_rate_pct,pass_scan_count,total_scan_count,pass_per_scan,pass_per_day,trade_frequency_pct,direction,live_pattern,live_score
OR_A_B_C_D,(A OR B OR C OR D),long_LONG_CONTINUATION,109,5,104,1.0,0.2778,0.4348,6.0556,35.0,21.8226,27.5695,100.0,5,91,0.0549,0.3333,4.59,long,LONG_CONTINUATION,0.4083
AND_A,A,long_LONG_REVERSAL,327,6,321,0.8333,0.082,0.1493,4.4672,23.6607,22.3308,22.5772,100.0,6,159,0.0377,0.4,1.83,long,LONG_REVERSAL,-1.0
AND_B,B,long_LONG_REVERSAL,327,12,315,0.8333,0.1639,0.274,4.4672,51.7647,19.547,19.0274,100.0,12,159,0.0755,0.8,3.67,long,LONG_REVERSAL,-1.0
AND_C,C,long_LONG_REVERSAL,327,4,323,1.0,0.0656,0.1231,5.3607,18.6667,29.792,23.8734,100.0,4,159,0.0252,0.2667,1.22,long,LONG_REVERSAL,0.3062
AND_D,D,long_LONG_REVERSAL,327,4,323,1.0,0.0656,0.1231,5.3607,18.6667,27.6262,22.6284,100.0,4,159,0.0252,0.2667,1.22,long,LONG_REVERSAL,0.3062
AND_AB,(A AND B),long_LONG_REVERSAL,327,6,321,0.8333,0.082,0.1493,4.4672,23.6607,22.3308,22.5772,100.0,6,159,0.0377,0.4,1.83,long,LONG_REVERSAL,-1.0
AND_AC,(A AND C),long_LONG_REVERSAL,327,3,324,1.0,0.0492,0.0938,5.3607,13.7586,31.1422,26.0903,100.0,3,159,0.0189,0.2,0.92,long,LONG_REVERSAL,0.2921
AND_AD,(A AND D),long_LONG_REVERSAL,327,4,323,1.0,0.0656,0.1231,5.3607,18.6667,27.6262,22.6284,100.0,4,159,0.0252,0.2667,1.22,long,LONG_REVERSAL,0.3062
AND_BC,(B AND C),long_LONG_REVERSAL,327,4,323,1.0,0.0656,0.1231,5.3607,18.6667,29.792,23.8734,100.0,4,159,0.0252,0.2667,1.22,long,LONG_REVERSAL,0.3062
AND_BD,(B AND D),long_LONG_REVERSAL,327,4,323,1.0,0.0656,0.1231,5.3607,18.6667,27.6262,22.6284,100.0,4,159,0.0252,0.2667,1.22,long,LONG_REVERSAL,0.3062
AND_CD,(C AND D),long_LONG_REVERSAL,327,3,324,1.0,0.0492,0.0938,5.3607,13.7586,31.1422,26.0903,100.0,3,159,0.0189,0.2,0.92,long,LONG_REVERSAL,0.2921
AND_ABC,(A AND B AND C),long_LONG_REVERSAL,327,3,324,1.0,0.0492,0.0938,5.3607,13.7586,31.1422,26.0903,100.0,3,159,0.0189,0.2,0.92,long,LONG_REVERSAL,0.2921
AND_ABD,(A AND B AND D),long_LONG_REVERSAL,327,4,323,1.0,0.0656,0.1231,5.3607,18.6667,27.6262,22.6284,100.0,4,159,0.0252,0.2667,1.22,long,LONG_REVERSAL,0.3062
