formula_id,formula_expr,kind,pass_bonus,source,linear_terms
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_1h_current_return_pct_gte_8.969214,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 1h_current_return_pct >= 8.969),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_2h_current_body_pct_gte_13.739943,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 2h_current_body_pct >= 13.74),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_2h_current_body_pct_gte_20.609914,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 2h_current_body_pct >= 20.61),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_2h_current_body_pct_gte_27.479886,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 2h_current_body_pct >= 27.48),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_2h_current_range_pct_gte_14.964243,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 2h_current_range_pct >= 14.96),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_2h_current_range_pct_gte_29.928486,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 2h_current_range_pct >= 29.93),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_2h_current_range_pct_gte_44.892729,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 2h_current_range_pct >= 44.89),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_2h_previous_body_pct_gte_27.479886,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 2h_previous_body_pct >= 27.48),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_2h_previous_body_pct_gte_34.349857,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 2h_previous_body_pct >= 34.35),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_2h_previous_ma20_distance_pct_gte_65.594714,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 2h_previous_ma20_distance_pct >= 65.59),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_2h_previous_return_pct_gte_26.298514,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 2h_previous_return_pct >= 26.3),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_30m_current_body_pct_gte_10.647286,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 30m_current_body_pct >= 10.65),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_30m_current_body_pct_gte_15.970929,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 30m_current_body_pct >= 15.97),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_30m_current_range_pct_gte_12.1684,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 30m_current_range_pct >= 12.17),ast,50.0,and_pair,[]
SF_AND_SD_1h_current_return_pct_15m_current_return_pct_gte_9.24094_SF_30m_current_range_pct_gte_22.8592,((1h_current_return_pct - 15m_current_return_pct) >= 9.241 AND 30m_current_range_pct >= 22.86),ast,50.0,and_pair,[]
